Date,GSCPI,,,,,,,,,
,,,NEW YORK FED  ECONOMIC RESEARCH,,,,,,,
,,,,,,,,,,
,,,https://www.newyorkfed.org/research,,,,,,,
,,,,,,,,,,
31-Jan-1998,-1.08,,,,,,,,,
28-Feb-1998,-0.45,,,,,,,,,
31-Mar-1998,-0.07,,,,,,,,,
30-Apr-1998,-0.12,,,,,,,,,
31-May-1998,-0.43,,,,,,,,,
30-Jun-1998,-0.74,,,,,,,,,
31-Jul-1998,-0.92,,,,,,,,,
31-Aug-1998,-0.89,,,,,,,,,
30-Sep-1998,-0.90,,,,,,,,,
31-Oct-1998,-0.68,,,,,,,,,
30-Nov-1998,-0.85,,,,,,,,,
31-Dec-1998,-0.61,,,,,,,,,
31-Jan-1999,-0.27,,,,,,,,,
28-Feb-1999,0.01,,,,,,,,,
31-Mar-1999,-0.26,,,,,,,,,
30-Apr-1999,-0.21,,,,,,,,,
31-May-1999,-0.35,,,,,,,,,
30-Jun-1999,-0.36,,,,,,,,,
31-Jul-1999,-0.61,,,,,,,,,
31-Aug-1999,-0.44,,,,,,,,,
30-Sep-1999,-0.38,,,,,,,,,
31-Oct-1999,-0.12,,,,,,,,,
30-Nov-1999,-0.16,,,,,,,,,
31-Dec-1999,-0.20,,,,,,,,,
31-Jan-2000,-0.60,,,,,,,,,
29-Feb-2000,-0.41,,,,,,,,,
31-Mar-2000,-0.28,,,,,,,,,
30-Apr-2000,0.13,,,,,,,,,
31-May-2000,0.28,,,,,,,,,
30-Jun-2000,0.05,,,,,,,,,
31-Jul-2000,-0.01,,,,,,,,,
31-Aug-2000,0.09,,,,,,,,,
30-Sep-2000,0.05,,,,,,,,,
31-Oct-2000,-0.51,,,,,,,,,
30-Nov-2000,-0.72,,,,,,,,,
31-Dec-2000,-0.90,,,,,,,,,
31-Jan-2001,-0.90,,,,,,,,,
28-Feb-2001,-0.76,,,,,,,,,
31-Mar-2001,-0.57,,,,,,,,,
30-Apr-2001,-0.98,,,,,,,,,
31-May-2001,-1.10,,,,,,,,,
30-Jun-2001,-0.68,,,,,,,,,
31-Jul-2001,-0.80,,,,,,,,,
31-Aug-2001,-0.76,,,,,,,,,
30-Sep-2001,-0.65,,,,,,,,,
31-Oct-2001,-1.18,,,,,,,,,
30-Nov-2001,-1.40,,,,,,,,,
31-Dec-2001,-1.13,,,,,,,,,
31-Jan-2002,-0.89,,,,,,,,,
